pair_key,pair_name,drug_a_key,drug_a_name,drug_b_key,drug_b_name,drug_a_level,drug_b_level,mean_cell_viability,median_cell_viability,min_cell_viability,max_cell_viability,n_observations
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,10.0,18.75,0.769375,0.83,0.49,0.9,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,10.0,75.0,0.676875,0.675,0.42,0.94,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,40.0,0.0,0.79,0.82,0.55,1.01,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,40.0,9.375,0.78375,0.82,0.53,0.96,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,40.0,18.75,0.7475,0.775,0.55,0.86,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,40.0,75.0,0.68,0.725,0.47,0.84,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,0.0,0.0,0.8,0.855,0.54,1.0,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,0.0,12.5,0.821875,0.835,0.62,0.91,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,0.0,25.0,0.811875,0.835,0.65,0.96,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,0.0,100.0,0.72625,0.74,0.63,0.81,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,5.0,0.0,0.83125,0.845,0.67,0.98,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,5.0,12.5,0.841875,0.86,0.67,0.93,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,5.0,25.0,0.76125,0.795,0.6,0.88,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,5.0,100.0,0.665625,0.64,0.46,0.83,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,10.0,0.0,0.77625,0.815,0.51,0.97,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,10.0,12.5,0.79625,0.855,0.58,0.94,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,10.0,25.0,0.755,0.805,0.5,0.93,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,10.0,100.0,0.675,0.73,0.42,0.88,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,40.0,0.0,0.78875,0.82,0.53,0.96,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,40.0,12.5,0.771875,0.795,0.51,1.01,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,40.0,25.0,0.75125,0.785,0.47,0.96,16
mitoxantrone + etoposide,Mitoxantrone + Etoposide,mitoxantrone,Mitoxantrone,etoposide,Etoposide,40.0,100.0,0.689375,0.715,0.47,0.83,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,0.0,0.0,0.88625,0.885,0.8,1.01,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,0.0,9.375,0.869375,0.87,0.8,0.96,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,0.0,18.75,0.85,0.85,0.77,0.93,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,0.0,75.0,0.81875,0.81,0.73,0.94,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,6.25,0.0,0.83375,0.845,0.66,0.97,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,6.25,9.375,0.848125,0.86,0.62,0.98,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,6.25,18.75,0.8025,0.8,0.62,0.92,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,6.25,75.0,0.738125,0.755,0.56,0.87,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,12.5,0.0,0.810625,0.83,0.66,0.97,16
vincristine + daunorubicin,Vincristine + Daunorubicin,vincristine,Vincristine,daunorubicin,Daunorubicin,12.5,9.375,0.82,0.825,0.65,0.96,16
